year,rating,num_reviews,body,acidity,price
2013,4.9,58,5,3,995
2018,4.9,31,4,2,313.5
2009,4.8,1793,5,3,324.95
1999,4.8,1705,5,3,692.96
1996,4.8,1309,5,3,778.06
1998,4.8,1209,5,3,490
2010,4.8,1201,5,3,349
1995,4.8,926,5,3,810.89
2015,4.8,643,5,3,345
2011,4.8,630,5,3,315
2016,4.8,591,5,3,514.85
2016,4.8,454,5,3,105.15
2018,4.8,438,5,3,430
1970,4.8,417,5,3,925
1946,4.8,398,5,1,350
2015,4.8,372,5,3,166.18
1962,4.8,295,5,3,1620
2019,4.8,250,5,3,431.36
2018,4.8,217,4,3,195.6273796
2004,4.8,211,5,3,824.43
,4.8,174,4,3,253
2013,4.8,172,5,3,570.51
2016,4.8,145,5,3,1280
1931,4.8,139,5,1,244.85
2010,4.8,125,5,3,719.34
1979,4.8,118,5,3,815
1946,4.8,103,5,1,285.86
2004,4.8,87,4,3,1410.26
2005,4.8,87,5,3,813.96
2020,4.8,84,5,3,435.75
2014,4.8,79,5,3,369.05
1985,4.8,70,5,3,1182.77
1929,4.8,69,5,1,227.95
1999,4.8,68,5,3,999
2007,4.8,68,5,3,360
2012,4.8,56,5,3,1190
2017,4.8,52,5,3,1150
2009,4.8,50,5,3,950
2008,4.8,40,4,3,1021.21
2016,4.8,40,4,3,544.5
2011,4.8,32,5,3,1295
2017,4.8,31,4,3,992.2
2015,4.8,28,5,3,1289.44
2017,4.8,26,4,3,1098.9
1985,4.8,26,4,3,215.34
2018,4.8,26,4,3,1094.9
,4.7,12421,5,3,423.5
2010,4.7,5266,5,3,239.5
2014,4.7,4350,5,3,175.5
2006,4.7,3929,5,3,194
2005,4.7,3437,5,3,381.15
2004,4.7,3164,5,3,584.43
2000,4.7,3127,5,3,555.2
2007,4.7,2935,5,3,445.28
2015,4.7,2826,5,3,189
2006,4.7,2765,5,3,362.25
2008,4.7,2480,5,3,289
2003,4.7,2419,5,3,325
2016,4.7,2177,5,3,107.57
2005,4.7,1892,5,3,234
2002,4.7,1199,5,3,500.94
1991,4.7,1141,5,3,698.9
1994,4.7,940,5,3,872.47
2000,4.7,935,5,3,877.85
1990,4.7,690,5,3,827.94
2014,4.7,685,5,3,113.18
1989,4.7,675,5,3,679.72
1987,4.7,593,5,3,787.59
2017,4.7,560,5,3,480.06
2015,4.7,543,5,3,75.1
2014,4.7,511,4,3,154.9
2013,4.7,476,4,3,145
1996,4.7,442,5,3,290
1986,4.7,425,3,3,795
2016,4.7,393,4,3,371.7800975
2008,4.7,347,4,3,134.19
2015,4.7,312,4,3,82.58
1981,4.7,308,5,3,873.86
2007,4.7,303,5,3,774.4
2016,4.7,300,5,3,84.95
2001,4.7,295,5,3,940
1986,4.7,292,5,3,812.63
2016,4.7,291,5,3,116.54
2004,4.7,285,5,3,1500
2006,4.7,280,5,3,1190
2017,4.7,268,4,3,154.85
2016,4.7,264,5,3,135
2015,4.7,256,5,3,63.75
1985,4.7,254,5,3,827.94
2017,4.7,251,4,2,66.07
2012,4.7,243,4,3,213.9
2006,4.7,240,4,3,234.9
1968,4.7,225,5,3,2087.25
2018,4.7,220,4,3,89.9
1964,4.7,214,5,3,1384.54
1982,4.7,205,5,3,820.98
2015,4.7,203,5,3,1250
1995,4.7,196,5,3,1500
1999,4.7,184,5,3,1715.18
1974,4.7,173,5,3,932.3
1998,4.7,171,4,3,1372.14
2015,4.7,137,5,3,78.9
2012,4.7,136,5,3,660.96
2009,4.7,134,5,3,154
2017,4.7,133,5,3,134.89
2000,4.7,132,4,3,1422.96
2005,4.7,131,5,3,207.11
2011,4.7,131,5,3,340.49
2010,4.7,127,5,3,317.63
2011,4.7,123,5,3,108.9
1983,4.7,118,5,3,700
1955,4.7,117,5,1,185
1980,4.7,116,5,3,911.43
2005,4.7,112,4,3,1150
1972,4.7,110,5,3,698.95
2004,4.7,108,5,3,2814.16
2010,4.7,102,5,3,1325
2015,4.7,102,4,3,527.26
1987,4.7,100,5,3,1071.45
2015,4.7,94,4,3,299
2016,4.7,92,,,43.13
1953,4.7,89,5,3,1207.6
2000,4.7,87,4,3,175
2015,4.7,82,4,3,1252.35
2019,4.7,80,4,3,145.9
2013,4.7,74,4,3,447.95
2006,4.7,72,5,3,813.96
2005,4.7,67,4,3,1410.26
2006,4.7,65,4,3,182.9
2007,4.7,64,2,3,99
1986,4.7,63,5,3,1113.2
2007,4.7,60,4,3,654.31
2016,4.7,59,5,3,134.26
,4.7,58,4,3,380
1982,4.7,57,4,3,292.09
1987,4.7,53,4,3,400.85
2007,4.7,51,4,3,202.01
1955,4.7,50,5,1,250
2019,4.7,49,4,3,88.9
2016,4.7,49,4,3,77.9
1958,4.7,47,5,1,191.61
2018,4.7,45,5,3,123.89
,4.7,42,5,1,114.28
,4.7,41,4,3,95.57
2018,4.7,41,5,3,93.95
2012,4.7,40,5,3,248
1995,4.7,39,4,2,397
2019,4.7,37,,,194.86
2011,4.7,35,2,3,65.05
2019,4.7,33,4,2,86.9
2004,4.7,32,5,3,472.5
2010,4.7,31,4,3,379
2001,4.7,31,5,3,185.15
1998,4.7,30,5,3,94.2
2018,4.7,29,4,3,46
2016,4.7,28,4,3,919.6
1987,4.7,27,,,81.9
1942,4.7,27,4,3,680
2011,4.6,6803,5,3,218
2012,4.6,5938,5,3,177
2008,4.6,5545,5,3,187.3
2007,4.6,5116,5,3,195.59
2013,4.6,4747,5,3,135
2009,4.6,4685,5,3,225.2
2016,4.6,4516,5,3,79.8
2017,4.6,3383,5,3,116.1879436
2018,4.6,3239,5,3,89.3
2010,4.6,2416,4,3,438.9
2017,4.6,2208,5,3,79.9
2004,4.6,1608,5,3,249
2018,4.6,1363,5,3,129.95
2019,4.6,1108,5,3,76.95
2000,4.6,1015,5,3,252
2002,4.6,936,5,3,232
2012,4.6,840,5,3,214
2011,4.6,790,5,3,205
2015,4.6,700,5,3,49.95
2011,4.6,693,5,3,125
1999,4.6,595,5,3,276.8
2015,4.6,516,5,3,75
2010,4.6,410,5,3,1359.75
2010,4.6,405,5,3,81.5
2012,4.6,400,5,3,890
2015,4.6,388,5,3,43.5
2015,4.6,369,5,3,99
2013,4.6,323,5,3,1198.72
2015,4.6,313,4,2,94.95
2016,4.6,304,4,2,89
2005,4.6,293,5,3,1785.96
2017,4.6,286,4,3,108.21
2006,4.6,274,4,2,391.5
1998,4.6,244,5,3,1350
2007,4.6,242,4,3,145
2012,4.6,231,4,3,173.38
2011,4.6,225,4,3,220
2017,4.6,222,4,3,85.7
1965,4.6,218,5,3,2884.04
2015,4.6,214,4,3,79.9
2018,4.6,211,5,3,68.7
2003,4.6,205,5,3,1638.95
2004,4.6,202,4,3,150
2016,4.6,200,5,3,48.95
2014,4.6,197,5,3,109.41
2014,4.6,186,5,3,119
1992,4.6,176,5,3,195
2014,4.6,172,5,3,1595
2010,4.6,169,4,2,519.55
2012,4.6,165,5,3,89
2011,4.6,165,4,2,511.9
1999,4.6,164,4,3,980
2015,4.6,160,4,3,73
2012,4.6,159,4,2,280
1973,4.6,157,5,3,932.3
2014,4.6,157,4,3,251.99
2014,4.6,153,5,3,61.69
1996,4.6,150,4,3,1372.14
2014,4.6,147,5,3,210.5
1985,4.6,146,5,3,285
2001,4.6,145,5,3,245.75
1989,4.6,143,5,3,228.57
2015,4.6,143,4,3,319.9
2005,4.6,142,4,2,325
2011,4.6,139,4,3,345
2018,4.6,136,4,2,58.9
2005,4.6,136,4,3,159
2013,4.6,135,4,3,69.9
1989,4.6,133,5,3,895.4
2017,4.6,131,5,3,147.85
2018,4.6,128,4,2,88.05
1997,4.6,127,4,3,1080
2001,4.6,124,4,2,301
2014,4.6,124,4,2,275
1967,4.6,123,5,3,1106.24
2016,4.6,123,5,3,64.9
